Name_of_image,Date,Adult_Juvenile_Medium,Quality,P_fl_1,P_fl_2,P_fl_3,A_fl_1,A_fl_2,A_fl_3,Length_1,Length_2,Length_3,Width_1,Width_2,Width_3,Thickness,Ejectisome_row_1,Ejectisome_row_2,Ejectisome_row_3
BEAP0220_RS1100_24112023_good_1-1,24112023,M,1,,,,,,,5.224,5.064,4.849,3.832,3.836,3.766,,,,
BEAP0220_RS1100_24112023_good_2-1,24112023,A,1,4.648,4.3,4.873,5.176,,,5.543,5.244,5.46,3.722,3.753,3.579,,,,
BEAP0220_RS1100_24112023_good_3-1,24112023,M,2,4.905,4.899,4.914,5.598,5.35,5.503,4.676,4.638,4.614,3.651,3.645,3.621,,,,
BEAP0220_RS1100_24112023_good_4-1,24112023,J,1,4.316,3.848,4.837,4.842,,,3.467,3.656,3.594,3.189,3.089,3.198,,0.878,0.937,1.028
BEAP0220_RS1100_24112023_good_5-1,24112023,A,2,4.306,4.669,,5.667,5.562,,4.369,4.36,4.44,3.273,3.368,3.592,,,,
BEAP0220_RS1100_24112023_good_6-1A,24112023,A,2,4.924,4.915,,5.661,,,5.218,5.249,5.2,3.478,3.433,3.502,,,,
BEAP0220_RS1100_24112023_good_6-1B,24112023,M,2,4.993,,,5.634,5.947,5.363,4.304,4.289,4.272,3.122,3.289,3.37,,,,
BEAP0220_RS1100_24112023_good_7-1,24112023,A,1,4.573,4.341,4.773,5.533,5.668,5.386,4.636,4.655,4.617,3.594,3.581,3.573,,,,
BEAP0220_RS1100_24112023_good_8-1,24112023,J,2,4.873,4.682,4.821,5.198,5.561,5.364,3.987,3.982,4.016,3.38,3.363,3.446,2.391,,,
BEAP0220_RS1100_24112023_good_10-1,24112023,M,0,4.495,4.787,4.682,4.644,4.965,4.873,4.773,4.701,,3.494,3.417,,,,,
BEAP0220_RS1100_24112023_good_11-1,24112023,A,1,4.929,5.503,,5.256,,,4.624,4.936,4.814,3.345,3.693,3.632,,,,
BEAP0220_RS1100_24112023_good_12-1,24112023,M,2,4.831,4.73,5.059,5.644,5.68,5.603,4.511,4.41,4.534,3.476,3.444,3.654,,,,
BEAP0220_RS1100_24112023_good_13-1,24112023,M,1,4.395,4.415,4.253,4.528,4.396,,4.359,4.403,4.29,3.54,3.45,3.492,,,,
BEAP0220_RS1100_24112023_good_14-1,24112023,J,1,4.259,4.316,4.33,4.892,4.987,4.911,4.219,4.039,,3.298,3.097,,,,,
BEAP0220_RS1100_24112023_good_15-1,24112023,J,2,4.598,4.763,,4.693,5.426,,3.912,3.896,3.872,3.313,3.213,3.29,,,,
BEAP0220_RS1100_24112023_good_16-1,24112023,A,2,,,,,,,5.36,,,4.014,,,,2.481,,
BEAP0220_RS1100_24112023_good_18-1,24112023,M,1,4.883,4.533,4.617,5.935,5.546,5.681,4.115,4,4.065,3.21,3.353,3.507,,,,
BEAP0220_RS1100_24112023_good_19-1,24112023,A,2,4.343,4.622,5.072,5.664,5.351,5.72,4.807,5.054,4.748,3.708,3.8,3.774,,,,
BEAP0220_RS1100_24112023_good_20-1,24112023,A,1,4.38,4.317,,4.781,4.517,4.971,4.887,5.075,,3.639,3.929,,,,,
BEAP0220_RS1100_24112023_good_21-1,24112023,A,1,4.935,4.836,5.068,5.699,5.183,5.265,4.96,5.039,4.863,3.956,3.97,3.915,,,,
BEAP0220_RS1100_24112023_good_22-1,24112023,A,1,5.121,,,5.631,,,5.174,5.044,4.915,3.795,3.872,3.607,,,,
BEAP0220_RS1100_24112023_good_23-1,24112023,M,2,4.651,4.599,4.76,5.204,5.523,5.266,4.015,4.024,4.016,3.576,3.532,3.482,,,,
BEAP0220_RS1100_24112023_good_24-1,24112023,A,2,4.931,4.816,4.843,5.731,5.412,,4.533,4.59,4.549,3.689,3.694,3.708,,,,
BEAP0220_RS1100_24112023_good_25-1,24112023,A,1,5.02,,,6.187,,,4.962,4.946,4.889,3.623,3.785,3.739,,,,
BEAP0220_RS1100_24112023_good_27-1,24112023,A,1,4. 592,4.952,4.199,4.856,4.96,5.198,4.493,4.573,4.429,3.351,3.392,3.45,,,,
BEAP0220_RS1100_24112023_good_28-1,24112023,A,3,5.005,4.984,4.936,5.691,5.438,5.512,4.794,4.872,4.846,3.697,3.638,3.66,,1.589,1.512,1.547
BEAP0220_RS1100_24112023_good_29-1,24112023,M,2,4.485,4.468,4.405,5.604,5.308,4.971,3.952,4.105,3.961,3.398,3.145,3.358,,,,
BEAP0220_RS1100_24112023_good_30-1,24112023,J,3,4.393,4.715,,5.075,,,4.127,4.004,3.904,3.284,3.352,3.122,,1.89,2.029,
BEAP0220_RS1100_24112023_good_31-1,24112023,A,3,5.09,4.863,,5.831,5.99,,5.431,5.334,5.317,3.908,3.932,3.918,,1.737,1.796,
BEAP0220_RS1100_24112023_good_32-1,24112023,J,2,4.729,4.749,4.861,5.497,5.663,5.468,4.085,4.195,4.074,3.405,3.511,3.399,,1.026,1.013,0.939
BEAP0220_RS1100_24112023_good_33-1,24112023,A,2,4.274,,,5.52,,,5.097,4.564,4.669,3.702,3.623,3.578,,1.199,1.207,1.314
BEAP0220_RS1100_24112023_good_35-1,24112023,M,1,4.626,4.199,4.264,5.149,5.234,,4.081,4.167,3.999,3.414,3.438,3.428,,,,
BEAP0220_RS1100_24112023_good_36-1,24112023,A,2,4.918,4.472,4.532,5.131,5.48,5.358,5.38,5.456,5.549,3.827,3.835,3.811,,,,
BEAP0220_RS1100_24112023_good_37-1,24112023,A,2,5.273,4.871,4.883,5.804,5.625,5.591,4.756,4.625,4.62,3.731,3.823,3.575,,,,
BEAP0220_RS1100_24112023_good_38-1,24112023,J,3,4.387,4.286,4.32,5.37,5.03,4.715,3.918,3.944,3.94,3.246,3.106,3.035,,2.041,1.862,1.956
BEAP0220_RS1100_24112023_good_39-1,24112023,A,2,4.812,4.936,4.517,5.902,6.268,6.226,4.788,4.868,4.869,3.798,3.774,3.769,,,,
BEAP0220_RS1100_24112023_good_40-1,24112023,A,2,5.4,,,5.605,,,4.999,5.122,5.376,4.083,4.065,4.107,,1.363,1.241,1.585
BEAP0220_RS1100_24112023_good_41-1,24112023,J,2,4.367,4.235,4.969,4.803,5.332,4.868,4.344,4.394,4.418,3.39,3.419,3.457,,1.468,1.713,1.486
BEAP0220_RS1100_24112023_good_42-1,24112023,A,3,5.073,4.639,,5.91,5.836,5.813,4.787,4.746,4.725,3.737,3.607,3.673,,1.775,1.835,1.631
BEAP0220_RS1100_24112023_good_43-1,24112023,A,3,4.729,4.562,4.734,5.095,5.353,5.389,5.344,5.176,5.279,4.442,4.432,4.366,,,,
